docid,docsrc,docno,title,text,section_ann
2156,iir,iir-2156,1 Boolean Retrieval,"        1 1Boolean retrieval The meaning of the term information retrieval can be very broad. Just getting a credit card out of your wallet so that you can type in the card number is a form of information retrieval. However, as an academic field of study, information retrieval might be defined thus:  Information retrieval (IR) is finding material (usually documents) of an unstructured nature (usually text) that satisfies an information need from within large collections (usually stored on computers). As defined in this way, information retrieval used to be an activity that only a few people engaged in: reference librarians, paralegals, and similar professional searchers. Now the world has changed, and hundreds of millions of people engage in information retrieval every day when they use a web search engine or search their email.1Information retrieval is fast becoming the dominant form of information access, overtaking traditional database style searching (the sort that is going on when a clerk says to you: “I’m sorry, I can only look up your order if you can give me your Order ID”). IR can also cover other kinds of data and information problems beyond that specified in the core definition above. The term “unstructured data” refers to data which does not have clear, semantically overt, easy- for-a-computer structure. It is the opposite of structured data, the canonical example of which is a relational database, of the sort companies usually use to maintain product inventories and personnel records. In reality, almost no data are truly “unstructured”. This is definitely true of all text data if you count the latent linguistic structure of human languages. But even accepting that the intended notion of structure is overt structure, most text has structure, such as headings and paragraphs and footnotes, which is commonly represented in documents by explicit markup (such as the coding underlying web 1. In modern parlance, the word “search” has tended to replace “(information) retrieval”; the term “search” is quite ambiguous, but in context we use the two synonymously.     21 Boolean retrieval pages). IR is also used to facilitate “semi structured” search such as finding a document where the title contains Java and the body contains threading. The field of information retrieval also covers supporting users in browsing or filtering document collections or further processing a set of retrieved documents. Given a set of documents, clustering is the task of coming up with a good grouping of the documents based on their contents. It is similar to arranging books on a bookshelf according to their topic. Given a set of topics, standing information needs, or other categories (such as suitability of texts for different age groups), classification is the task of deciding which class(es), if any, each of a set of documents belongs to. It is often approached by first manually classifying some documents and then hoping to be able to classify new documents automatically. Information retrieval systems can also be distinguished by the scale at which they operate, and it is useful to distinguish three prominent scales. In web search, the system has to provide search over billions of documents stored on millions of computers. Distinctive issues are needing to gather documents for indexing, being able to build systems that work efficiently at this enormous scale, and handling particular aspects of the web, such as the exploitation of hypertext and not being fooled by site providers manipulating page content in an attempt to boost their search engine rankings, given the commercial importance of the web. We focus on all these issues in Chapters 19–21. At the other extreme is personal information retrieval. In the last few years, consumer operating systems have integrated information retrieval (such as Apple’s Mac OS X Spotlight or Windows Vista’s Instant Search). Email programs usually not only provide search but also text classification: they at least provide a spam (junk mail) filter, and commonly also provide either manual or automatic means for classifying mail so that it can be placed directly into particular folders. Distinctive issues here include handling the broad range of document types on a typical personal computer, and making the search system maintenance free and sufficiently lightweight in terms of startup, processing, and disk space usage that it can run on one machine without annoying its owner. In between is the space of enterprise, institutional, and domain-specific search, where retrieval might be provided for collections such as a corporation’s internal documents, a database of patents, or research articles on biochemistry. In this case, the documents will typically be stored on centralized file systems and one or a handful of dedicated machines will provide search over the collection. This book contains techniques of value over this whole spectrum, but our coverage of some aspects of parallel and distributed search in web-scale search systems is comparatively light owing to the relatively small published literature on the details of such systems. However, outside of a handful of web search companies, a software developer is most likely to encounter the personal search and enterprise scenarios.     1.1 An example information retrieval problem 3 In this chapter we begin with a very simple example of an information retrieval problem, and introduce the idea of a term-document matrix (Section 1.1) and the central inverted index data structure (Section 1.2). We will then examine the Boolean retrieval model and how Boolean queries are processed (Sections 1.3 and 1.4). 1.1 An example information retrieval problem A fat book which many people own is Shakespeare’s Collected Works. Suppose you wanted to determine which plays of Shakespeare contain the words Brutus AND Caesar AND NOT Calpurnia. One way to do that is to start at the beginning and to read through all the text, noting for each play whether it contains Brutus and Caesar and excluding it from consideration if it contains Calpurnia. The simplest form of document retrieval is for a computer to do this sort of linear scan through documents. This process is commonly referred to as grepping through text, after the Unix command grep, which performs this process. Grepping through text can be a very effective process, especially given the speed of modern computers, and often allows useful possibilities for wildcard pattern matching through the use of regular expressions. With modern computers, for simple querying of modest collections (the size of Shakespeare’s Collected Works is a bit under one million words of text in total), you really need nothing more. But for many purposes, you do need more: 1. To process large document collections quickly. The amount of online data has grown at least as quickly as the speed of computers, and we would now like to be able to search collections that total in the order of billions to trillions of words. 2. To allow more flexible matching operations. For example, it is impractical to perform the query Romans  countrymen with grep, where  might be defined as “within 5 words” or “within the same sentence”. 3. To allow ranked retrieval: in many cases you want the best answer to an information need among many documents that contain certain words. The way to avoid linearly scanning the texts for each query is to index the documents in advance. Let us stick with Shakespeare’s Collected Works, and use it to introduce the basics of the Boolean retrieval model. Suppose we record for each document – here a play of Shakespeare’s – whether it contains each word out of all the words Shakespeare used (Shakespeare used about 32,000 different words). The result is a binary term-document incidence matrix, as in Figure 1.1.Terms are the indexed units (further discussed in Section 2.2); they are usually words, and for the moment you can think of  ",1.1
2360,ies,ies-2360,1 Introduction," 1 Introduction
 ",
2369,mir2,mir2-2369,1 Introduction," Chapter 1
Introduction
 ",
2357,foa,foa-2357,1 Overview," Overview  Its about nothing.  Finding Out About. Reproduced by permission of The New Yorker *  ""What's the final episode  of ""Seinfeld' abovtV 1.1 Finding Out About - A Cognitive Activity  We are all forced to make decisions regularly, sometimes on the spur of  the moment. But the rest of the time we have enough warning that it is possible to collect our thoughts and do some research that makes our  * Robert Mankoff, 0 The New Yorker, 26 January 1998. FINDING OUT ABOUT  decision as sound as it can be. This book is a closer look at the process of finding out about (FOA), research activities that allow a decision-maker to draw on others' knowledge. It is written from a technical perspective, in terms of computational tools that speed the FOA activity in the modern era of the distributed networks of knowledge collectively known as the World Wide Web (WWW). It shows you how to build many of the tools that are useful for searching collections of text and other media. The primary argument advanced is that progress requires that we appreciate the cognitive foundation we bring to this task as academics, as language users, and even as adaptive organisms.  As organisms, we have evolved a wide range of strategies for seeking useful information about our environment. We use the term ""cognitive"" to highlight the use of internal representations that help even the simplest organisms perceive and respond to their world; as the organisms get less simple, their cognitive structures increase in complexity. Whether done by simple or complex organisms, however, the process of finding out about is a very active one - making initial guesses about good paths, using complex sets of features to decide if we seem to be on the right path, and proceeding forward.  As humans, we are especially expert at searching through one of the most complex environments of all: language. Its system of linguistic features is not derived from the natural world, at least not directly. It is a constructed, cultural system that has worked well since (by definition! ) prehistoric times. In part, languages remain useful because they are capable of change when necessary. ",
2358,foa,foa-2358,1.1 Finding Out About – a cognitive activity," Overview  Its about nothing.  Finding Out About. Reproduced by permission of The New Yorker *  ""What's the final episode  of ""Seinfeld' abovtV 1.1 Finding Out About - A Cognitive Activity  We are all forced to make decisions regularly, sometimes on the spur of  the moment. But the rest of the time we have enough warning that it is possible to collect our thoughts and do some research that makes our  * Robert Mankoff, 0 The New Yorker, 26 January 1998. FINDING OUT ABOUT  decision as sound as it can be. This book is a closer look at the process of finding out about (FOA), research activities that allow a decision-maker to draw on others' knowledge. It is written from a technical perspective, in terms of computational tools that speed the FOA activity in the modern era of the distributed networks of knowledge collectively known as the World Wide Web (WWW). It shows you how to build many of the tools that are useful for searching collections of text and other media. The primary argument advanced is that progress requires that we appreciate the cognitive foundation we bring to this task as academics, as language users, and even as adaptive organisms.  As organisms, we have evolved a wide range of strategies for seeking useful information about our environment. We use the term ""cognitive"" to highlight the use of internal representations that help even the simplest organisms perceive and respond to their world; as the organisms get less simple, their cognitive structures increase in complexity. Whether done by simple or complex organisms, however, the process of finding out about is a very active one - making initial guesses about good paths, using complex sets of features to decide if we seem to be on the right path, and proceeding forward.  As humans, we are especially expert at searching through one of the most complex environments of all: language. Its system of linguistic features is not derived from the natural world, at least not directly. It is a constructed, cultural system that has worked well since (by definition! ) prehistoric times. In part, languages remain useful because they are capable of change when necessary.  New features and new objects are noticed, and it becomes necessary for us to express new things about them, to form our reactions to them, and to express these reactions to one another.  Our first experience of language, as children and as a species, was oral - we spoke and listened. As children we learn Sprachspiele (word or language games) [Wittgenstein, 1953] - how to use language to get what we want. A baby saying ""Juice!"" is using the exclamation as a tool to make adults move; that's what a word means. Such a functional notion of language, in terms of the jobs it accomplishes, will prove central to our conception of what keywords in documents and queries mean as part of the FOA task.  Beyond the oral uses of language, as a species we have also learned the advantages of writing down important facts we might otherwise forget. OVERVIEW  Writing down a list of things to do, which we might forget tomorrow, extends our limited memory. Some of these advantages accrue to even a single individual: We use language personally, to organize our thoughts and to conceive strategies.  Even more important, we use writing to say things to others. Writing down important, memorable facts in a consistent, conventional manner, so that others can understand what we mean and vice versa, further amplifies the linguistic advantage. As a society, we value reading and writing skills because they let us interpret shared symbols and coordinate our actions. In advanced cultures' scholarship, entire curricula can be defined in terms of what Robert McHenry (Editor-in-Chief of Encyclopedia Britannica) calls ""KnowingHow to Know""1  It is easiest to think of the organism's or human's search as being for   a valuable object, sweet pieces of fruit in the jungle, or (in modern times) a grocer that sells them. But as language has played an increasingly important role in our society, searching for valuable written passages becomes an end unto itself. Especially as members of the academic community, we are likely to go to libraries seeking others' writings as part of our search. Here we find rows upon rows of books, each full of facts the author thought important, and endorsed by a librarian who has selected it. The authors are typically people far from our own time and place, using language similar but not identical to our own.  Of course the library contains many such books on many, many topics. We must Find Out About a topic of special interest, looking only for those things that are relevant to our search. This basic skill is a fundamental part of an academic's job:  ï  We look for references in order to write a term paper.  ï  We read a textbook, looking for help in answering an exercise.  ï  We comb through scientific journals to see if a question has already been answered.  We know that if we find the right reference, the right paper, the right paragraph, our job will be made much easier. Language has become not only the means of our search, but its object as well  wwwjustanother. com/howtoknow FINDING OUT ABOUT  Today we can also search the World Wide Web (WWW) for others' opinions of music, movies, or software. Of course these examples are much less of an ""academic exercise""; Finding Out About such information commodities, and doing it consistently and well, is a skill on which the modern information society places high value indeed. But while the infrastructure forming the modern WWW is quite recent, the promise offered by truly connecting all the world's knowledge has been anticipated for some time, for example, by H. G. Wells [Wells, 1938].  Many of the FOA searching techniques we will discuss in this text have been designed to operate on vast collections of apparently ""dead"" linguistic objects: files full of old email messages, CD-ROMs full of manuals or literature, Web servers fiill of technical reports, and so on. But at their core, each of these collections is evidence of real, vital attempts to communicate. Typically an author (explicitly or implicitly) anticipates the interests of some imagined audience and produces text that is a balance between what the author wants to say and what he or she thinks the audience wants to hear. A textual corpus will contain many such documents, written by many different authors, in many styles and for many different purposes. A person searching through such a corpus comes with his or her own purposes and may well use language in a different way from any of the authors. But each individual linguistic expression - the authors' attempts to write, the searchers' attempts to express their questions and then read the authors' documents - must be appreciated for the word games [Wittgenstein, 1953] that they are. FOA is centrally concerned with meaning: the semantics of the words, sentences, questions, and documents involved. We cannot tell if a document is about a topic unless we understand (at least something of) the semantics of the document and the topic. This is the notion of about-ness most typical within the tradition of library science [Hutchins, 1978].  This means that our attempts to engineer good technical solutions must be informed by, and can contribute to, a broader philosophy of language. For examples it will turn out that FOA's concern with the semantics of entire documents is well complemented by techniques from computational linguistics, which have tended to focus on syntactic analysis of individual sentences. But even more exciting is the fact that the recent OVERVIEW       5  Questioner  Question answerer  Question  Answer  Assessment  FIGURE 1.1 The FOA Conversation Loop.  availability of new types of electronic artifacts - from email messages and WWW corpora to the browsing behaviors of millions of users all trying to FOA - brings an empirical grounding for new theories of language that may well be revolutionary.  At its core, the FOA process of browsing readers can be imagined to involve three phases:  1.  asking a question;  2.  constructing an answer; and  3.  assessing the answer.  This conversational loop is sketched in Figure 1.1.  Step 1. Asking a Question  The first step is initiated by people who (anticipating our interest in building a search engine) we'll call users, and their questions. We don't know a lot about these people, but we do know they are in a particular frame of mind, a special cognitive state; they may be aware^ of a specific  gap in their knowledge (or they be only vaguely puzzled), and they're motivated to fill it. They want to FOA ... some topic.  Supposing for a moment that we were there to ask, the users may not  even be able to characterize the topic, that is, to articulate their knowledge gap. More precisely, they may not be able to fully define characteristics of the ""answer"" they seek. A paradoxical feature of the FOA problem is  Meta-cognition about  ignorance FINDING OUT ABOUT  that if users knew their question,  precisely, they might not even need the search engine we are designing: Forming a clearly posed question is often the hardest part of answering it! In any case, well call this somewhat befuddled but not uncommon cognitive state the users' information need.  While a bit confused about their particular question, the users are not without resources. First, they can typically take their ill-defined, internal cognitive state and turn it into an external expression of their question, in some language. We'll call their expression the query, and the language in which it is constructed the query language.  Step 2. Constructing an Answer  So much for the source of the question; whence the answer? If the question is being asked of a person, we must worry about equally complex characteristics of the answerer's cognitive state:  ï  Can they translate the user's ill-formed question into a better one?  ï  Do they know the answer themselves?  ï  Are they able to verbalize this answer?  ï  Can they give the answer in terms the user will understand?  ï  Can they provide the necessary background knowledge for the user to understand the answer itself?  We will refer to the question-answerer as the search engine, a computer program that algorithmically performs this task. Immediately each  of the concerns (just listed) regarding the human answerer's cognitive state translates into extremely ambitious demands we might make of our computer system.  Throughout most of this book, we will avoid such ambitious issues and instead consider a very restricted form of the FOA problem: We will assume that the search engine has available to it only a set of preexisting, ""canned"" passages of text and that its response is limited to identifying one or more of these passages and presenting them to the users; see Figure 1.2. We will call each of these passages a document and the entire set of documents the corpus. Especially when the corpus is very large (e.g., assume it contains millions or even billions of documents), selecting a very small set (say 10 to 20) of these as potentially good answers to OVERVIEW  Corpus FIGURE 1.2 Retrieval of Documents in Response to a Query  be retrieved will prove sufficiently difficult (and practically important) that we will focus on it for the first few chapters of this book. In the final chapters however, we will consider how this basic functionality can be extended towards tools for ""Searching for an education"" (cf. Section 8.3.9).  Step 3. Assessing the Answer  Imagine a special instance of the FOA problem: You are the user, waiting in line to ask a question of a professor. You're confused about a topic that is sure to be on the final exam. When you finally get your chance to ask your question, we'll assume that the professor does nothing but select the three or four preformed pearls of wisdom he or she thinks come closest to your need, delivers these ""documents,"" and sends you on your way. ""But wait!"" you want to say. ""That isn't what I meant"" Or, ""Let me ask it another way."" Or, ""That helps, but I still have this problem.""  The third and equally important phase of the FOA process ""closes the loop"" between asker and answerer, whereby the user (asker) provides an assessment of how relevant they find the answer provided. If after your first question and the professor's initial answer you are summarily ushered out of the office, you have a perfect right to be angry because the FOA process has been violated. FOA is a dialog between asker and answerer; it does not end with the search engine's first delivery of an answer. This initial exchange is only the first iteration of an ongoing conversation by which asker and answerer mutually negotiate a satisfactory exchange. In the process, the asker may recognize elements of the answer he or she 8       FINDING OUT ABOUT  FIGURE 1.3 Assessment of the Retrieval  What FOA data can we observe?  seeks and be able to reexpress the information need in terms of threads taken from previous answers.  Because the question-answerer has been restricted to a simple set of documents, the asker's relevance feedback must be similarly constrained; for each of the documents retrieved by the search engine, the asker reacts by saying whether or not the document is relevant. Returning to the student/professor scenario, we can imagine this as the student saying ""Thanks, that helps"" after those pearls that do and remaining silent or saying, ""Huh?"" or ""What does that have to do with anything?!"" or ""No, that's not what I meant!"" otherwise. More precisely, relevance feedback gives askers the opportunity to provide more information with their reaction to each retrieved document - whether it  is relevant (©), irrelevant (©), or neutral (#). This is shown as a Venn diagram-like labeling of the set of retrieved documents in Figure 1.3. We'll worry about just how to solicit and make use of relevance feedback judgments in Chapter 4.t
foa-0003	 ",
2370,mir2,mir2-2370,1.1 Information Retrieval," 1.1 Information Retrieval
Information retrieval (IR) is a broad area of Computer Science focused primarily on
providing the users with easy access to information of their interest, as follows.
Information retrieval deals with the representation, storage, organization
of, and access to information items such as documents, Web pages, online
catalogs, structured and semi-structured records, multimedia objects. The
representation and organization of the information items should be such
as to provide the users with easy access to information of their interest.
In terms of scope, the area has grown well beyond its early goals of indexing text
and searching for useful documents in a collection. Nowadays, research in IR includes
modeling, Web search, text classification, systems architecture, user interfaces, data
visualization, filtering, languages.
In terms of research, the area may be studied from two rather distinct and complementary
points of view: a computer-centered one and a human-centered one. In
the computer-centered view, IR consists mainly of building up efficient indexes, processing
user queries with high performance, and developing ranking algorithms to
improve the results. In the human-centered view, IR consists mainly of studying the
behavior of the user, of understanding their main needs, and of determining how such
understanding affects the organization and operation of the retrieval system. In this
book, we focus mainly on the computer-centered view of IR, which is dominant in
academia and in the market place.
1.1.1 Early Development ",
2361,ies,ies-2361,1.1 What Is Information Retrieval," 1.1 What Is Information Retrieval?
Information retrieval (IR) is concerned with representing, searching, and manipulating large
collections of electronic text and other human-language data. IR systems and services are now
widespread, with millions of people depending on them daily to facilitate business, education,
and entertainment. Web search engines — Google, Bing, and others — are by far the most
popular and heavily used IR services, providing access to up-to-date technical information,
locating people and organizations, summarizing news and events, and simplifying comparison
shopping. Digital library systems help medical and academic researchers learn about new journal
articles and conference presentations related to their areas of research. Consumers turn to local
search services to find retailers providing desired products and services. Within large companies,
enterprise search systems act as repositories for e-mail, memos, technical reports, and other
business documents, providing corporate memory by preserving these documents and enabling
access to the knowledge contained within them. Desktop search systems permit users to search
their personal e-mail, documents, and files.
1.1.1 Web Searc ",
2371,mir2,mir2-2371,1.1.1 Early Developments," 1.1.1 Early Developments
For more than 5,000 years, man has organized information for later retrieval and
searching. In its most usual form, this has been done by compiling, storing, organizing,  2 INTRODUCTION
and indexing clay tablets, hieroglyphics, papyrus rolls, and books. For holding the
various items, special purpose buildings called libraries, from the Latin word liber for
book, or bibliothekes, from the Greek word biblion for papyrus roll, are used.
The oldest known library was created in Elba, in the “Fertile Crescent”, currently
northern Syria, some time between 3,000 and 2,500 BC. In the seventh century BC,
Assyrian king Ashurbanipal created the library of Nineveh, on the Tigris River (today,
north of Iraq), which contained more than 30,000 clay tablets at the time of its
destruction in 612 BC. By 300 BC, Ptolemy Soter, a Macedonian general, created
the Great Library in Alexandria – the Egyptian city at the mouth of the Nile named
after the Macedonian king Alexander the Great (356-323 BC). For seven centuries
the Great Library, jointly with other major libraries in the city, made Alexandria the
intellectual capital of the Western world [1164].
Since then, libraries have expanded and flourished. Nowadays, they are everywhere.
They constitute the collective memory of the human race and their popularity
is in the rising. In 2008 alone, people in the US visited their libraries some 1.3 billion
times and checked out more than 2 billion items – an increase in both yearly figures
of more than 10 percent [155].
Since the volume of information in libraries is always growing, it is necessary to
build specialized data structures for fast search – the indexes. In one form or another,
indexes are at the core of every modern information retrieval system. They provide
fast access to the data and allow speeding up query processing, as we discuss in
Chapter 9.
For centuries indexes have been created manually as sets of categories. Each
category in the index is typically composed of labels that identify its associated topics
and of pointers to the documents that discuss those topics. While these indexes are
usually designed by library and information science researchers, the advent of modern
computers has allowed the construction of large indexes automatically, which has
accelerated the development of the area of Information Retrieval (IR).
Early developments in IR date back to research efforts conducted in the 50’s by pioneers
such as Hans Peter Luhn, Eugene Garfield, Philip Bagley, and Calvin Moores,
this last one having allegedly coined the term information retrieval [1692]. In 1955,
Allen Kent and colleagues published a paper describing the precision and recall metrics
[903], which was followed by the publication in 1962 of the Cranfield studies by
Cyril Cleverdon [394, 395]. In 1963, Joseph Becker and Robert Hayes published the
first book on information retrieval [164]. Throughout the 60’s, Gerard Salton and
Karen Sparck Jones, among others, shaped the field by developing the fundamental
concepts that led to the modern technologies of ranking in IR. In 1968, the first IR
book authored by Salton was published. In 1971, N. Jardine and C.J. Van Rijsbergen
articulated the “cluster hypothesis” [827]. In 1978, the first ACM Conference on IR
(ACM SIGIR) was held in Rochester, New York. In 1979, C.J. Van Rijsbergen published
Information Retrieval [1624], which focused on probabilistic models. In 1983,
Salton and McGill published Introduction to Modern Information Retrieval [1414], a
classic book on IR focused on vector models. Since then, the IR community has grown
to include thousands of professors, researchers, students, engineers, and practitioners
throughout the world. The main conference in the area, the ACM International Conference
on Information Retrieval (ACM SIGIR), now attracts hundreds of attendees
and receives hundreds of submitted papers on an yearly basis. ",
2362,ies,ies-2362,1.1.1 Web Search," 1.1.1 Web Search
Regular users of Web search engines casually expect to receive accurate and near-instantaneous
answers to questions and requests merely by entering a short query — a few words — into a text
box and clicking on a search button. Underlying this simple and intuitive interface are clusters
of computers, comprising thousands of machines, working cooperatively to generate a ranked
list of those Web pages that are likely to satisfy the information need embodied in the query.
These machines identify a set of Web pages containing the terms in the query, compute a score
for each page, eliminate duplicate and redundant pages, generate summaries of the remaining
pages, and finally return the summaries and links back to the user for browsing.
In order to achieve the subsecond response times expected from Web search engines, they
incorporate layers of caching and replication, taking advantage of commonly occurring queries
and exploiting parallel processing, allowing them to scale as the number of Web pages and
users increase. In order to produce accurate results, they store a “snapshot” of the Web. This
snapshot must be gathered and refreshed constantly by a Web crawler, also running on a cluster  1.1 What Is Information Retrieval? 3
of hundreds or thousands of machines, and downloading periodically — perhaps once a week —
a fresh copy of each page. Pages that contain rapidly changing information of high quality, such
as news services, may be refreshed daily or hourly.
Consider a simple example. If you have a computer connected to the Internet nearby, pause
for a minute to launch a browser and try the query “information retrieval” on one of the major
commercial Web search engines. It is likely that the search engine responded in well under a
second. Take some time to review the top ten results. Each result lists the URL for a Web page
and usually provides a title and a short snippet of text extracted from the body of the page.
Overall, the results are drawn from a variety of different Web sites and include sites associated
with leading textbooks, journals, conferences, and researchers. As is common for informational
queries such as this one, the Wikipedia article1 may be present. Do the top ten results contain
anything inappropriate? Could their order be improved? Have a look through the next ten
results and decide whether any one of them could better replace one of the top ten results.
Now, consider the millions of Web pages that contain the words “information” and “retrieval”.
This set of pages includes many that are relevant to the subject of information retrieval but are
much less general in scope than those that appear in the top ten, such as student Web pages and
individual research papers. In addition, the set includes many pages that just happen to contain
these two words, without having any direct relationship to the subject. From these millions of
possible pages, a search engine’s ranking algorithm selects the top-ranked pages based on a
variety of features, including the content and structure of the pages (e.g., their titles), their
relationship to other pages (e.g., the hyperlinks between them), and the content and structure
of the Web as a whole. For some queries, characteristics of the user such as her geographic
location or past searching behavior may also play a role. Balancing these features against each
other in order to rank pages by their expected relevance to a query is an example of relevance
ranking. The efficient implementation and evaluation of relevance ranking algorithms under a
variety of contexts and requirements represents a core problem in information retrieval, and
forms the central topic of this book.
 ",
2359,foa,foa-2359,1.1.1 Working within the IR Tradition," 1.1.1 Working within the IR Tradition  If it seems to you that the last section has sidestepped many of the most difficult issues underlying FOA, you're right! Later chapters will return to redress some of these omissions, but the immediate goal of Chapters 2 to 4 is to ""operationalize'3 FOA to resemble a well-studied problem within computer science, typically referred to as information retrieval (IR). IR is a field that has existed since computers were first OVERVIEW       9  used to count words [Belkin and Croft, 1987]. Even earlier, the related discipline of library science had developed many automated techniques for efficiently storing, cataloging, and retrieving physical materials so that browsing patrons could find them; many of these methods can be applied to the digital documents held within computers. IR has also borrowed heavily from the field of linguistics, especially computational linguistics.  The primary journals in the field and most important conferences^ Other places to in IR have continued to publish and meet since the 1960s, but the field has taken on new momentum within the last decade. Computers capable of searching and retrieving from the entire biomedical literature, across an entire nation's judicial system, or from all of the major newspaper and magazine articles, have created new markets among doctors, lawyers, journalists, students, everyone! And of course, the Internet, within just a few years, has generated many, many other examples of textual collections and people interested in searching through them.  The long tradition of IR is therefore the primary perspective from which we will approach FOA. Of course, every tradition brings with it tacit assumptions and preconceived notions that can hinder progress. In some ways, an elementary  1.1.1 Working within the IR Tradition  If it seems to you that the last section has sidestepped many of the most difficult issues underlying FOA, you're right! Later chapters will return to redress some of these omissions, but the immediate goal of Chapters 2 to 4 is to ""operationalize'3 FOA to resemble a well-studied problem within computer science, typically referred to as information retrieval (IR). IR is a field that has existed since computers were first OVERVIEW       9  used to count words [Belkin and Croft, 1987]. Even earlier, the related discipline of library science had developed many automated techniques for efficiently storing, cataloging, and retrieving physical materials so that browsing patrons could find them; many of these methods can be applied to the digital documents held within computers. IR has also borrowed heavily from the field of linguistics, especially computational linguistics.  The primary journals in the field and most important conferences^ Other places to in IR have continued to publish and meet since the 1960s, but the field has taken on new momentum within the last decade. Computers capable of searching and retrieving from the entire biomedical literature, across an entire nation's judicial system, or from all of the major newspaper and magazine articles, have created new markets among doctors, lawyers, journalists, students, everyone! And of course, the Internet, within just a few years, has generated many, many other examples of textual collections and people interested in searching through them.  The long tradition of IR is therefore the primary perspective from which we will approach FOA. Of course, every tradition brings with it tacit assumptions and preconceived notions that can hinder progress. In some ways, an elementary ",
