quizid,text,section,docsrc,docid
q261,What is the technique of keeping frequently used disk data in main memory called? Processing. Caching. Data loading. Memory optimization,iir_4_1,iir,2105
q262,The part of main memory where a block being read or written is stored is known as? Data index. Buffer. Data block. Dictionary,iir_4_1,iir,2105
q263,How are the terms represented in order to make index  index construction more efﬁcient? verbose terms. termIDs. term constants. term coefficients,iir_4_2,iir,2106
q264,What is the advantage of using an external sorting algorithm? Maximizes output efficiency. Minimizes number of random disk seeks during sorting. Enhances sorting. Improves caching,iir_4_2,iir,2106
q265,What is the full form of BSBI? Binary System Based Indexing Algorithm. Bubble Sort Based Indexing Algorithm. Buffer System Based Index. Block Sort Based Indexing Algorithm,iir_4_2,iir,2106
q266,What is a more scalable alternative compared to BSBI for very large collections? Dictionary Sorting. Multi BSBI. Single pass in memory indexing. Sparse Parsing,iir_4_2,iir,2106
q267,What is the difference between BSBI and SPIMI SPIMI adds a posting indirectly to its postings list. SPIMI adds a posting directly to its postings list. Terms are better organized by BSBI. SPIMI is microscopic,iir_4_3,iir,2107
q268,Which is a general architecture for distributed computing? HFFS. DistributedScale. MapReduce,iir_4_4,iir,2108
q269,Which of these directs the process of assigning and reassigning tasks into individual worker nodes? HyperBase. Master Node. Co ordinator . Slave Node,iir_4_4,iir,2108
q270,What are the local intermediate files in the Map Reduce called as? block files. Segment files. local files. Interim files,iir_4_4,iir,2108
q271,What is periodic reconstruction of indexes known as? Periodic Indexing. Data Extension. Index reformation. Dynamic indexing,iir_4_4,iir,2108
q272,What are the 2 types of indexes used in dynamic indexing? Large and Tiny. Main and Secondary. Primary and Secondary. Main and Auxillary,iir_4_5,iir,2109
q273,What is an important consideration for retrieval systems in corporations? Size of data. Security. Fast retrieval,iir_4_6,iir,2110
q274,What is an example of retrieval system used for user authorization? Namelist. Access control lists. Phone directory,iir_4_6,iir,2110
q275,What does rule of 30 state? 30 most common words account for 30% written text.. All documents have 30% verbs.. All documents have a minimum of 30 articles.. 30% words in documents have 50% written text.,iir_5_1,iir,2113
q276,Which technique discards information? Lossless compression. Tiny compression. Zip compression. Lossy compression,iir_5_1,iir,2114
q277,Which law estimates vocabulary size as a function of collection size? Heper Law. Zip Law. Collections law. Heaps Law,iir_5_1,iir,2114
q278,What is the main goal of compressing dictionary? support low query throughput. improve distribution of load. support high query throughput. implement improved indexing,iir_5_2,iir,2116
q279,Why is dictionary compression not suitable always? Small corporations have better methods. Large corporation may have multiterabyte collection with large vocabulary. Large compression may be expensive,iir_5_2,iir,2117
q280,What uses an integral number of bytes to encode a gap? integral encoding. variable byte encoding. invariant transform. variable bitwise code,iir_5_3,iir,2120
q281,What is the simplest bit level code known as? gamma code. unary code. beta code. bit level code,iir_5_3,iir,2121
q282,What determines the coding properties of a discrete probability distribution? absolute value. entropy. index coefficient,iir_5_3,iir,2121
q283,What are the advantages of compressing text? takes less time to be transmitted over a communication link. requires less storage space. less time to search directly,mir_7_4,mir,2124
q284,What are the two approaches to text compression? statistic and dictionary based. probabilistic and term based. probabilistic and statistic. dictionary and term based,mir_7_4,mir,2125
q285,What are the 2 well known statistical coding strategies? Huffman and arithmetic coding. Bitman and Byteman coding. Heap and arithmetic coding,mir_7_4,mir,2125
q286,Which of these are types of compression model semi static. probabilistic. non adaptive,mir_7_4,mir,2126
q287,Which of these scheme uses the idea of replacing strings of characters with a reference to a previous occurrence of the string? non adaptive dictionary scheme. Ziv lempel type adaptive dictionary scheme. Hips compression,mir_7_4,mir,2127
q288,What files are widely used to index large text files? Scalable files. Compressed files. Inverted files. Fast files,mir_7_4,mir,2128
q289,What do successful search techniques for medium size databases use? Btree index. combine online and indexed searching. Library index,mir_8_1,mir,2130
q290,"Inverted files, suffix arrays and signature files are all examples of? data structures. Retrieval models. indexing techniques",mir_8_1,mir,2130
q291,What are the 2 elements of inverted files? grammar and vocabulary. vocabulary and occurences. vocabulary and terms. index and vocabulary,mir_8_2,mir,2131
q292,Why is block addressing used in inverted files? to improve querying. to reduce space requirements. to advance retrieval. to reduce time complexity,mir_8_2,mir,2131
q293,Which of these are steps for search algorithm on an inverted index? manipulation of occurences. retrieval of occurences. vocabulary search,mir_8_2,mir,2131
q294,What are the disadvantages of suffix trees? it varies the index. answers more complex queries. costly construction process,mir_8_3,mir,2135
q295,What is used to overcome the problems of large suffix arrays? super index. supra indices. meta index. random disk access,mir_8_3,mir,2135
